post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,stock_status,backorders
Andrew Martin Fabric Hedgerow - Cerise,variation-999535452-of-andrew-martin-fabric-hedgerow,999534955,999535455,,Colour: Cerise,publish,,0,17/04/22 10:46,1049,closed,HedgerowCerise,HedgerowCerise-P,,instock,no
Andrew Martin Fabric Hedgerow - Quince,variation-999535454-of-andrew-martin-fabric-hedgerow,999534955,999535457,,Colour: Quince,publish,,0,17/04/22 10:46,1049,closed,HedgerowQuince,HedgerowCerise-P,,instock,no
Christian Lacroix Fabric Soft Jardin Exo'Chic,christian-lacroix-fabric-soft-jardin-exochic,,999534958,"An exquisite and exotic digitally printed palm forest vista. This extraordinary printed velvet is as graphic as it is luxurious for overscale upholstery projects with a sense of drama, as well as the most stunning curtains.","<h1>Care Code</h1><p><img align=""baseline"" alt=""DO NOT WASH"" height=""36"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/DO-NOT-WASH.png"" title=""DO NOT WASH"" width=""50"" /><img align=""baseline"" alt=""NO BLEACH"" height=""42"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/NO-BLEACH.png"" title=""NO BLEACH"" width=""44"" /><img align=""baseline"" alt=""NO TUMBLE DRY"" height=""36"" src=""""https://inspiry.co.nz/wp-content/uploads/2020/09/NO-TUMBLE-DRY.png"""" title=""NO TUMBLE DRY"" width=""39"" /><img align=""baseline"" alt=""DO NOT IRON"" height=""41"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/DO-NOT-IRON.png"" title=""DO NOT IRON"" width=""59"" /><img align=""baseline"" alt=""PROFESSIONAL DRY CLEAN"" height=""46"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=""PROFESSIONAL DRY CLEAN"" width=""44"" /></p><h1>Care Code Guide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click <strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#ff0033;"">here<span style=""color:#696969;""> </span></span></a></strong><span style=""font-size: 1em;"">to download.</span></span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:46,1049,open,FCL038-01-P,,,instock,no
Christian Lacroix Fabric Soft Jardin Exo'Chic - Black,variation-999535456-of-christian-lacroix-fabric-soft-jardin-exochic,999534958,999535462,,Colour: Black,publish,,0,17/04/22 10:47,1049,closed,FCL038-01,FCL038-01-P,,instock,no
Christian Lacroix Fabric Soft Jardin Exo'Chic - Green,variation-999535460-of-christian-lacroix-fabric-soft-jardin-exochic,999534958,999535464,,Colour: Green,publish,,0,17/04/22 10:47,1049,closed,FCL038-02,FCL038-01-P,,instock,no
Christian Lacroix Fabric Cabanon,christian-lacroix-fabric-cabanon,,999534962,"A fabulous and functional printed cotton mix stripe, with bands of painterly tone creating washes of colour. This design represents Lacroix's bestselling Sol y Sombra silk stripe fit to the demands of upholstery.","<h1>Care Code</h1><p><img align=baseline alt=DO NOT WASH height=36 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/DO-NOT-WASH.png"" title=DO NOT WASH width=50 /><img align=baseline alt=NO BLEACH height=42 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/NO-BLEACH.png"" title=NO BLEACH width=44 /><img align=baseline alt=NO TUMBLE DRY height=36 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/NO-TUMBLE-DRY.png"" title=NO TUMBLE DRY width=39 /><img align=baseline alt=MEDIUM IRON height=31 src=/site/inspirynz/DOCUMENTS/MEDIUM IRON.png title=MEDIUM IRON width=49 /><img align=baseline alt=PROFESSIONAL DRY CLEAN height=46 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=PROFESSIONAL DRY CLEAN width=44 /></p><h1>Care Code Guide</h1><p><span style=font-size: 1em;>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click <strong style=font-size: 1em;><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=color:#ff0033;>here<span style=color:#696969;> </span></span></a></strong><span style=font-size: 1em;>to download.</span></span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL051-01-P,,,instock,no
Christian Lacroix Fabric Cabanon - Black,variation-999535464-of-christian-lacroix-fabric-cabanon,999534962,999535469,,Colour: Black,publish,,0,17/04/22 10:47,1049,closed,FCL051-01,FCL051-01-P,,instock,no
Christian Lacroix Fabric Cabanon - Pink,variation-999535468-of-christian-lacroix-fabric-cabanon,999534962,999535471,,Colour: Pink,publish,,0,17/04/22 10:47,1049,closed,FCL051-03,FCL051-01-P,,instock,no
Christian Lacroix Fabric Cabanon - Red,variation-999535472-of-christian-lacroix-fabric-cabanon,999534962,999535473,,Colour: Red,publish,,0,17/04/22 10:47,1049,closed,FCL051-04,FCL051-01-P,,instock,no
Christian Lacroix Fabric Cabanon - Green,variation-999535476-of-christian-lacroix-fabric-cabanon,999534962,999535476,,Colour: Green,publish,,0,17/04/22 10:47,1049,closed,FCL051-06,FCL051-01-P,,instock,no
Christian Lacroix Fabric Honneurs,christian-lacroix-fabric-honneurs,,999534966,An eclectic decoupage of imagery combining vintage prints with south American Aztec patterns. This statement design from the house of Lacroix is digitally printed onto luxurious cotton velvet to add a touch of glamour to your interior scheme. Perfect for all applications from curtains to bedcovers and upholstery.,"<h1>Care Code</h1><p><img align=baseline alt=DO NOT WASH height=36 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/DO-NOT-WASH.png"" title=DO NOT WASH width=50 /><img align=baseline alt=NO BLEACH height=42 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/NO-BLEACH.png"" title=NO BLEACH width=44 /><img align=baseline alt=NO TUMBLE DRY height=36 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/NO-TUMBLE-DRY.png"" title=NO TUMBLE DRY width=39 /><img align=baseline alt=DO NOT IRON height=41 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/DO-NOT-IRON.png"" title=DO NOT IRON width=59 /><img align=baseline alt=PROFESSIONAL DRY CLEAN height=46 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=PROFESSIONAL DRY CLEAN width=44 /></p><h1>Care Code Guide</h1><p><span style=font-size: 1em;>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabric.<br /><br />Please click <strong style=font-size: 1em;><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=color:#ff0033;>here<span style=color:#696969;> </span></span></a></strong><span style=font-size: 1em;>to download.</span></span></p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL2500-03-P,,,instock,no
Christian Lacroix Fabric Honneurs - Orange,variation-999535480-of-christian-lacroix-fabric-honneurs,999534966,999535481,,Colour: Orange,publish,,0,17/04/22 10:47,1049,closed,FCL2500-03,FCL2500-03-P,,instock,no
Christian Lacroix Fabric Honneurs - Grey,variation-999535484-of-christian-lacroix-fabric-honneurs,999534966,999535484,,Colour: Grey,publish,,0,17/04/22 10:47,1049,closed,FCL2500-04,FCL2500-03-P,,instock,no
Christian Lacroix Fabric Reveries,christian-lacroix-fabric-reveries,,999534970,"Take yourself into a Lacroix dream world in this eclectic print. mythical creatures and images in a magical kingdom are combined with a not so traditional toile pattern. This statement design is digitally printed onto cotton for curtains, cushions, bedcovers and upholstery.","<h1>Care Code</h1><p>&nbsp;<img align=baseline alt=PROFESSIONAL DRY CLEAN height=46 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/PROFESSIONAL-DRY-CLEAN.png"" title=PROFESSIONAL DRY CLEAN width=44 />&nbsp;<img align=baseline alt=MEDIUM IRON height=31 src=/site/inspirynz/DOCUMENTS/MEDIUM IRON.png title=MEDIUM IRON width=49 /><img align=baseline alt=MACHINE WASH UP TO 30DEG height=33 src=/site/inspirynz/DOCUMENTS/MACHINE WASH UP TO 30DEG.png title=MACHINE WASH UP TO 30DEG width=45 /><img align=baseline alt=NO BLEACH height=42 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/NO-BLEACH.png"" title=NO BLEACH width=44 /><img align=baseline alt=NO TUMBLE DRY height=36 src=""https://inspiry.co.nz/wp-content/uploads/2020/09/NO-TUMBLE-DRY.png"" title=NO TUMBLE DRY width=39 /><br /><br />&nbsp;</p><h1>Care Code Guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics.<br /><br />Please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=color:#ff3300;>here </a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL7008-01-P,,,instock,no
Christian Lacroix Fabric Reveries - Vert Buis,variation-999535488-of-christian-lacroix-fabric-reveries,999534970,999535488,,Colour: Vert Buis,publish,,0,17/04/22 10:47,1049,closed,FCL7008-01,FCL7008-01-P,,instock,no
Christian Lacroix Fabric Reveries - Tomette,variation-999535490-of-christian-lacroix-fabric-reveries,999534970,999535490,,Colour: Tomette,publish,,0,17/04/22 10:47,1049,closed,FCL7008-02,FCL7008-01-P,,instock,no
Christian Lacroix Fabric Herbaruim,christian-lacroix-fabric-herbaruim,,999534972,"An exquisite print that features an extraordinary assemblage of photographic blooms with a vivid and glowing, outline detail. designed exclusively by the design studio of Christian Lacroix Paris in two distinct colourways, to highlight the beautiful colour combinations within the design. This design is digitally printed onto a pure cotton satin ground. The perfect fabric for a wide range of interior applications including, curtains, blind, cushions, bedcovers and upholstery.","<h1>fabric guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/INSPIRY-FABRIC-CARE.pdf""><span style=color:#696969;>here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL7023-01-P,,,instock,no
Christian Lacroix Fabric Herbaruim - herbarium,variation-999535492-of-christian-lacroix-fabric-herbaruim,999534972,999535493,,Colour: herbarium,publish,,0,17/04/22 10:47,1049,closed,FCL7023-01,FCL7023-01-P,,instock,no
Christian Lacroix Fabric Herbaruim - herbarium,variation-999535494-of-christian-lacroix-fabric-herbaruim,999534972,999535495,,Colour: herbarium,publish,,0,17/04/22 10:47,1049,closed,FCL7023-02,FCL7023-01-P,,instock,no
Christian Lacroix Fabric Birds Sinfonia,christian-lacroix-fabric-birds-sinfonia,,999534974,A collage of photographic flowers and birds with distorted stripes. Perfect for adding drama and eccentricity to your interior scheme.,"<h1>fabric guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/INSPIRY-FABRIC-CARE.pdf""><span style=color:#696969;>here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL7024-01-P,,,instock,no
Christian Lacroix Fabric Birds Sinfonia - Perce-Neige,variation-999535496-of-christian-lacroix-fabric-birds-sinfonia,999534974,999535498,,Colour: Perce-Neige,publish,,0,17/04/22 10:47,1049,closed,FCL7024-01,FCL7024-01-P,,instock,no
Christian Lacroix Fabric Birds Sinfonia - Crepuscule,variation-999535498-of-christian-lacroix-fabric-birds-sinfonia,999534974,999535500,,Colour: Crepuscule,publish,,0,17/04/22 10:47,1049,closed,FCL7024-02,FCL7024-01-P,,instock,no
Christian Lacroix Fabric Birds Sinfonia - Jonc,variation-999535500-of-christian-lacroix-fabric-birds-sinfonia,999534974,999535502,,Colour: Jonc,publish,,0,17/04/22 10:47,1049,closed,FCL7024-03,FCL7024-01-P,,instock,no
Christian Lacroix Fabric Birds Sinfonia - Source,variation-999535502-of-christian-lacroix-fabric-birds-sinfonia,999534974,999535504,,Colour: Source,publish,,0,17/04/22 10:47,1049,closed,FCL7024-04,FCL7024-01-P,,instock,no
Christian Lacroix Fabric Cabanon Soft,christian-lacroix-fabric-cabanon-soft,,999534976,This classic Christian Lacroix stripe reinvented in a soft and luxurious velvet. Woven with a deep luxurious cotton-rich pile.,"<h1>Fabric Guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a -="""" care.pdf="""" fabric="""" href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Inspiry-Fabric-Care-Guide.pdf""><span style=""color:#696969;"">here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL7029-01-P,,,onbackorder,no
Christian Lacroix Fabric Cabanon Soft - Azur,variation-999535504-of-christian-lacroix-fabric-cabanon-soft,999534976,999535509,,Colour: Azur,publish,,0,17/04/22 10:47,1049,closed,FCL7029-01,FCL7029-01-P,,onbackorder,no
Christian Lacroix Fabric Cabanon Soft - Coquelicot,variation-999535508-of-christian-lacroix-fabric-cabanon-soft,999534976,999535511,,Colour: Coquelicot,publish,,0,17/04/22 10:47,1049,closed,FCL7029-02,FCL7029-01-P,,onbackorder,no
Christian Lacroix Fabric Cabanon Soft - Graphite,variation-999535512-of-christian-lacroix-fabric-cabanon-soft,999534976,999535513,,Colour: Graphite,publish,,0,17/04/22 10:47,1049,closed,FCL7029-03,FCL7029-01-P,,onbackorder,no
Christian Lacroix Fabric Cabanon Soft - Roseau,variation-999535516-of-christian-lacroix-fabric-cabanon-soft,999534976,999535516,,Colour: Roseau,publish,,0,17/04/22 10:47,1049,closed,FCL7029-04,FCL7029-01-P,,onbackorder,no
Christian Lacroix Fabric Pergola Shades Soft,christian-lacroix-fabric-pergola-shades-soft,,999534980,"A graphic cut velvet with geometric tiles and contrasting lines, complimented by graphic monochrome.","<h1>fabric guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/INSPIRY-FABRIC-CARE.pdf""><span style=color:#696969;>here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL7035-01-P,,,onbackorder,no
Christian Lacroix Fabric Pergola Shades Soft - Azur,variation-999535520-of-christian-lacroix-fabric-pergola-shades-soft,999534980,999535521,,Colour: Azur,publish,,0,17/04/22 10:47,1049,closed,FCL7035-01,FCL7035-01-P,,onbackorder,no
Christian Lacroix Fabric Pergola Shades Soft - Coquelicot,variation-999535524-of-christian-lacroix-fabric-pergola-shades-soft,999534980,999535524,,Colour: Coquelicot,publish,,0,17/04/22 10:47,1049,closed,FCL7035-02,FCL7035-01-P,,onbackorder,no
Christian Lacroix Fabric Pergola Shades Soft - Galet,variation-999535528-of-christian-lacroix-fabric-pergola-shades-soft,999534980,999535528,,Colour: Galet,publish,,0,17/04/22 10:47,1049,closed,FCL7035-03,FCL7035-01-P,,onbackorder,no
Christian Lacroix Fabric Pergola Shades Soft - Fuchsia,variation-999535532-of-christian-lacroix-fabric-pergola-shades-soft,999534980,999535532,,Colour: Fuchsia,publish,,0,17/04/22 10:47,1049,closed,FCL7035-04,FCL7035-01-P,,onbackorder,no
Christian Lacroix Fabric Cueillette,christian-lacroix-fabric-cueillette,,999534984,"Dream-like forest leaves and ferns create enchanting botanical inspired Christian Lacroix print in rich, tonal shades set against pure white. Digitally printed onto a soft cotton satin ground, this design is ideal for curtains, blinds, cushions and bedcovers. Available in two colourways.","<h1>fabric guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/INSPIRY-FABRIC-CARE.pdf""><span style=color:#696969;>here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL7037-01-P,,,onbackorder,no
Christian Lacroix Fabric Cueillette - Bourgeon,variation-999535536-of-christian-lacroix-fabric-cueillette,999534984,999535536,,Colour: Bourgeon,publish,,0,17/04/22 10:47,1049,closed,FCL7037-01,FCL7037-01-P,,onbackorder,no
Christian Lacroix Fabric Cueillette - Printemps,variation-999535538-of-christian-lacroix-fabric-cueillette,999534984,999535538,,Colour: Printemps,publish,,0,17/04/22 10:47,1049,closed,FCL7037-02,FCL7037-01-P,,onbackorder,no
Christian Lacroix Fabric Le Pas Des Anges,christian-lacroix-fabric-le-pas-des-anges,,999534986,"An expressive cut velvet from Maison Christian Lacroix in abstract shapes with an intertwined damask pattern. Stylish and versatile, the two-tone velvet pile is in contrast to the neutral linen weave ground. A perfect fabric for inspired curtains, blinds, bedcovers and upholstery. In five distinct colourways.","<h1>fabric guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/INSPIRY-FABRIC-CARE.pdf""><span style=color:#696969;>here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,17/04/22 10:47,1049,open,FCL7039-01-P,,,onbackorder,no
Christian Lacroix Fabric Le Pas Des Anges - Oeillet,variation-999535540-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535541,,Colour: Oeillet,publish,,0,17/04/22 10:47,1049,closed,FCL7039-01,FCL7039-01-P,,onbackorder,no
Christian Lacroix Fabric Le Pas Des Anges - Bleu Nigelle,variation-999535542-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535543,,Colour: Bleu Nigelle,publish,,0,17/04/22 10:47,1049,closed,FCL7039-02,FCL7039-01-P,,onbackorder,no
Christian Lacroix Fabric Le Pas Des Anges - Etoupe,variation-999535544-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535545,,Colour: Etoupe,publish,,0,17/04/22 10:47,1049,closed,FCL7039-03,FCL7039-01-P,,onbackorder,no
Christian Lacroix Fabric Le Pas Des Anges - Bourgeon,variation-999535546-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535547,,Colour: Bourgeon,publish,,0,17/04/22 10:47,1049,closed,FCL7039-04,FCL7039-01-P,,onbackorder,no
Christian Lacroix Fabric Le Pas Des Anges - Printemps,variation-999535548-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535549,,Colour: Printemps,publish,,0,17/04/22 10:47,1049,closed,FCL7039-05,FCL7039-01-P,,onbackorder,no
