post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:care_code,meta:total_sales,meta:attribute_pa_colour,meta:attribute_pa_shape,meta:attribute_pa_size,meta:attribute_pa_sizes,attribute:Assembly,attribute_data:Assembly,attribute_default:Assembly,attribute:pa_assembly,attribute_data:pa_assembly,attribute_default:pa_assembly,attribute:pa_availability,attribute_data:pa_availability,attribute_default:pa_availability,attribute:pa_availabilty,attribute_data:pa_availabilty,attribute_default:pa_availabilty,attribute:pa_brand-name,attribute_data:pa_brand-name,attribute_default:pa_brand-name,attribute:pa_brands,attribute_data:pa_brands,attribute_default:pa_brands,attribute:pa_collection,attribute_data:pa_collection,attribute_default:pa_collection,attribute:pa_colour,attribute_data:pa_colour,attribute_default:pa_colour,attribute:pa_colour-number,attribute_data:pa_colour-number,attribute_default:pa_colour-number,attribute:pa_composition,attribute_data:pa_composition,attribute_default:pa_composition,attribute:pa_construction,attribute_data:pa_construction,attribute_default:pa_construction,attribute:pa_country-of-origin,attribute_data:pa_country-of-origin,attribute_default:pa_country-of-origin,attribute:pa_current-deal,attribute_data:pa_current-deal,attribute_default:pa_current-deal,attribute:pa_delivery,attribute_data:pa_delivery,attribute_default:pa_delivery,attribute:pa_design-name,attribute_data:pa_design-name,attribute_default:pa_design-name,attribute:pa_design-style,attribute_data:pa_design-style,attribute_default:pa_design-style,attribute:pa_dimensions,attribute_data:pa_dimensions,attribute_default:pa_dimensions,attribute:pa_effects,attribute_data:pa_effects,attribute_default:pa_effects,attribute:pa_end-use,attribute_data:pa_end-use,attribute_default:pa_end-use,attribute:pa_horizontal-pattern-repeat,attribute_data:pa_horizontal-pattern-repeat,attribute_default:pa_horizontal-pattern-repeat,attribute:pa_lightfastness,attribute_data:pa_lightfastness,attribute_default:pa_lightfastness,attribute:pa_match,attribute_data:pa_match,attribute_default:pa_match,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_nuance,attribute_data:pa_nuance,attribute_default:pa_nuance,attribute:pa_origin,attribute_data:pa_origin,attribute_default:pa_origin,attribute:pa_pattern,attribute_data:pa_pattern,attribute_default:pa_pattern,attribute:pa_pattern-height,attribute_data:pa_pattern-height,attribute_default:pa_pattern-height,attribute:pa_pattern-repeat,attribute_data:pa_pattern-repeat,attribute_default:pa_pattern-repeat,attribute:pa_pattern-width,attribute_data:pa_pattern-width,attribute_default:pa_pattern-width,attribute:pa_primary-colour,attribute_data:pa_primary-colour,attribute_default:pa_primary-colour,attribute:pa_repeat-size,attribute_data:pa_repeat-size,attribute_default:pa_repeat-size,attribute:pa_roll-length,attribute_data:pa_roll-length,attribute_default:pa_roll-length,attribute:pa_roll-width,attribute_data:pa_roll-width,attribute_default:pa_roll-width,attribute:pa_room-type,attribute_data:pa_room-type,attribute_default:pa_room-type,attribute:pa_secondary-colour,attribute_data:pa_secondary-colour,attribute_default:pa_secondary-colour,attribute:pa_shape,attribute_data:pa_shape,attribute_default:pa_shape,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sizes,attribute_data:pa_sizes,attribute_default:pa_sizes,attribute:pa_sold-by,attribute_data:pa_sold-by,attribute_default:pa_sold-by,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style,attribute:pa_timber,attribute_data:pa_timber,attribute_default:pa_timber,attribute:pa_usage,attribute_data:pa_usage,attribute_default:pa_usage,attribute:pa_vertical-pattern-repeat,attribute_data:pa_vertical-pattern-repeat,attribute_default:pa_vertical-pattern-repeat,attribute:pa_washability,attribute_data:pa_washability,attribute_default:pa_washability,attribute:pa_weight,attribute_data:pa_weight,attribute_default:pa_weight,attribute:pa_width,attribute_data:pa_width,attribute_default:pa_width
"Boras Tapeter Wallpaper Delfinisk Rorelse Digital By Karl Axel Pherson - 2764",variation-458147-of-boras-tapeter-wallpaper-delfinisk-rorelse-digital-by-karl-axel-pherson,456889,458147,,"Colour: 2764",publish,,0,"2022-03-03 17:51:07",1,closed,BT-2764,BT-2764-P,,no,no,0,431,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-2764-1-1.jpg ! alt :  ! title : BT-2764-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-delfinisk-rorelse-digital-by-karl-axel-pherson/,,,,,,,,,,,,,,,,"Free Shipping",,,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Delfinisk Rorelse Digital By Karl Axel Pherson - 2765",variation-458151-of-boras-tapeter-wallpaper-delfinisk-rorelse-digital-by-karl-axel-pherson,456889,458151,,"Colour: 2765",publish,,0,"2022-03-03 17:51:09",1,closed,BT-2765,BT-2764-P,,no,no,0,431,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-2765-1.jpg ! alt :  ! title : BT-2765-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-delfinisk-rorelse-digital-by-karl-axel-pherson/,,,,,,,,,,,,,,,,"Free Shipping",,,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Blomsterfesten",boras-tapeter-wallpaper-blomsterfesten,,456917,"In this lovely wallpaper pattern, we join the exquisite Princess Nyponblom and friends for a fantastic festival of flowers. The motifs were originally drawn by Elsa Beskow. This beautiful wallpaper in pink brings a cheery feel to a children's room.","<h1>Care Code</h1><p><img align=""baseline"" alt=""imageedit 3 5946527801"" height=""137"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/imageedit_3_5946527801.png"" title=""imageedit 3 5946527801"" width=""130"" /></p><h1>Care CodeGuide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of wallpaper.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Wallpaper-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span>",publish,,0,"2022-03-03 17:35:54",1,open,BT-6235-P,,,no,no,,245,,1.3,60,8.5,60,,outofstock,no,no,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6235-1.jpg ! alt : Boras Tapeter Wallpaper Blomsterfesten  ! title : Boras Tapeter Wallpaper Blomsterfesten  1 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6235-2.jpg ! alt : Boras Tapeter Wallpaper Blomsterfesten  ! title : Boras Tapeter Wallpaper Blomsterfesten  2 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6235-3.jpg ! alt : Boras Tapeter Wallpaper Blomsterfesten  ! title : Boras Tapeter Wallpaper Blomsterfesten  3 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6235-4.jpg ! alt : Boras Tapeter Wallpaper Blomsterfesten  ! title : Boras Tapeter Wallpaper Blomsterfesten  4 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6235-5.jpg ! alt : Boras Tapeter Wallpaper Blomsterfesten  ! title : Boras Tapeter Wallpaper Blomsterfesten  5 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-blomsterfesten/,,,,,,,,,,,,variable,outofstock,Wallpaper,,,,0,,,,,,,,,,,"Delivery 3 weeks after ordering. Order now",32|1|0,,,,,"Boras Tapeter, Boras Tapeter Wallpaper",1|1|0,,,,,"Scandinavian Designers Mini",2|1|0,,6235|6236,3|1|1,6235,,,,"Non Woven Paste the Wall",7|1|0,,,,,,,,,,,Free,33|1|0,,Blomsterfesten,4|1|0,,"Mid Century",5|1|0,,,,,,,,,,,,,,,,,"Half Drop",8|1|0,,,,,,,,Sweden,14|1|0,,Art,6|1|0,,,,,53Cm,15|1|0,,,,,,,,,,,10.05M,12|1|0,,,,,,,,,,,,,,,,,,,,Roll,13|1|0,,,,,,,,,,,,,,,,,,,,53Cm,11|1|0,
"Boras Tapeter Wallpaper Blomsterfesten - 6235",variation-458155-of-boras-tapeter-wallpaper-blomsterfesten,456917,458155,,"Colour: 6235",publish,,0,"2022-03-03 17:51:13",1,closed,BT-6235,BT-6235-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6235-1-1.jpg ! alt :  ! title : BT-6235-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-blomsterfesten/,,,,,,,,,,,,,,,,"Free Shipping",,,6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Blomsterfesten - 6236",variation-458161-of-boras-tapeter-wallpaper-blomsterfesten,456917,458161,,"Colour: 6236",publish,,0,"2022-03-03 17:51:15",1,closed,BT-6236,BT-6235-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6236-1.jpg ! alt :  ! title : BT-6236-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-blomsterfesten/,,,,,,,,,,,,,,,,"Free Shipping",,,6236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Brio Dots",boras-tapeter-wallpaper-brio-dots,,456923,"Borastapeter has developed this fanciful wallpaper pattern based on BRIO's watchwords of playfulness and colour. How many ducks can you spot? What colours do you see? Where is the giraffe? A colourful wallpaper for children's rooms that inspires joy in the onlooker.","<h1>Care Code</h1><p><img align=""baseline"" alt=""imageedit 3 5946527801"" height=""137"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/imageedit_3_5946527801.png"" title=""imageedit 3 5946527801"" width=""130"" /></p><h1>Care CodeGuide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of wallpaper.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Wallpaper-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span>",publish,,0,"2022-03-03 17:35:58",1,open,BT-6237-P,,,no,no,,245,,1.3,60,8.5,60,,outofstock,no,no,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6237-1.jpg ! alt : Boras Tapeter Wallpaper Brio Dots  ! title : Boras Tapeter Wallpaper Brio Dots  1 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6237-2.jpg ! alt : Boras Tapeter Wallpaper Brio Dots  ! title : Boras Tapeter Wallpaper Brio Dots  2 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6237-3.jpg ! alt : Boras Tapeter Wallpaper Brio Dots  ! title : Boras Tapeter Wallpaper Brio Dots  3 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6237-4.jpg ! alt : Boras Tapeter Wallpaper Brio Dots  ! title : Boras Tapeter Wallpaper Brio Dots  4 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6237-5.jpg ! alt : Boras Tapeter Wallpaper Brio Dots  ! title : Boras Tapeter Wallpaper Brio Dots  5 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-brio-dots/,,,,,,,,,,,,variable,outofstock,Wallpaper,,,,0,,,,,,,,,,,"Delivery 3 weeks after ordering. Order now",32|1|0,,,,,"Boras Tapeter, Boras Tapeter Wallpaper",1|1|0,,,,,"Scandinavian Designers Mini",2|1|0,,6237|6238,3|1|1,6237,,,,"Non Woven Paste the Wall",7|1|0,,,,,,,,,,,Free,33|1|0,,"Brio Dots",4|1|0,,"Mid Century",5|1|0,,,,,,,,,,,,,,,,,"Half Drop",8|1|0,,,,,,,,Sweden,14|1|0,,Art,6|1|0,,,,,53Cm,15|1|0,,,,,,,,,,,10.05M,12|1|0,,,,,,,,,,,,,,,,,,,,Roll,13|1|0,,,,,,,,,,,,,,,,,,,,53Cm,11|1|0,
"Boras Tapeter Wallpaper Brio Dots - 6237",variation-458167-of-boras-tapeter-wallpaper-brio-dots,456923,458167,,"Colour: 6237",publish,,0,"2022-03-03 17:51:17",1,closed,BT-6237,BT-6237-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6237-1-1.jpg ! alt :  ! title : BT-6237-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-brio-dots/,,,,,,,,,,,,,,,,"Free Shipping",,,6237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Brio Dots - 6238",variation-458173-of-boras-tapeter-wallpaper-brio-dots,456923,458173,,"Colour: 6238",publish,,0,"2022-03-03 17:51:20",1,closed,BT-6238,BT-6237-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6238-1.jpg ! alt :  ! title : BT-6238-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-brio-dots/,,,,,,,,,,,,,,,,"Free Shipping",,,6238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Brio Icons",boras-tapeter-wallpaper-brio-icons,,456929,"BRIO's classic forms bring a childishly fun world of play to the wall. The ladybird, plane and truck are just some of the figures that have now been transformed into a design wallpaper for children's rooms. Here in a grey colour scheme.","<h1>Care Code</h1><p><img align=""baseline"" alt=""imageedit 3 5946527801"" height=""137"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/imageedit_3_5946527801.png"" title=""imageedit 3 5946527801"" width=""130"" /></p><h1>Care CodeGuide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of wallpaper.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Wallpaper-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span>",publish,,0,"2022-03-03 17:36:03",1,open,BT-6239-P,,,no,no,,245,,1.3,60,8.5,60,,outofstock,no,no,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6239-1.jpg ! alt : Boras Tapeter Wallpaper Brio Icons  ! title : Boras Tapeter Wallpaper Brio Icons  1 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6239-2.jpg ! alt : Boras Tapeter Wallpaper Brio Icons  ! title : Boras Tapeter Wallpaper Brio Icons  2 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6239-3.jpg ! alt : Boras Tapeter Wallpaper Brio Icons  ! title : Boras Tapeter Wallpaper Brio Icons  3 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6239-4.jpg ! alt : Boras Tapeter Wallpaper Brio Icons  ! title : Boras Tapeter Wallpaper Brio Icons  4 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6239-5.jpg ! alt : Boras Tapeter Wallpaper Brio Icons  ! title : Boras Tapeter Wallpaper Brio Icons  5 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-brio-icons/,,,,,,,,,,,,variable,outofstock,Wallpaper,,,,0,,,,,,,,,,,"Delivery 3 weeks after ordering. Order now",32|1|0,,,,,"Boras Tapeter, Boras Tapeter Wallpaper",1|1|0,,,,,"Scandinavian Designers Mini",2|1|0,,6239|6240|6241,3|1|1,6239,,,,"Non Woven Paste the Wall",7|1|0,,,,,,,,,,,Free,33|1|0,,"Brio Icons",4|1|0,,"Mid Century",5|1|0,,,,,,,,,,,,,,,,,"Half Drop",8|1|0,,,,,,,,Sweden,14|1|0,,Art,6|1|0,,,,,53Cm,15|1|0,,,,,,,,,,,10.05M,12|1|0,,,,,,,,,,,,,,,,,,,,Roll,13|1|0,,,,,,,,,,,,,,,,,,,,53Cm,11|1|0,
"Boras Tapeter Wallpaper Brio Icons - 6239",variation-458179-of-boras-tapeter-wallpaper-brio-icons,456929,458179,,"Colour: 6239",publish,,0,"2022-03-03 17:51:23",1,closed,BT-6239,BT-6239-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6239-1-1.jpg ! alt :  ! title : BT-6239-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-brio-icons/,,,,,,,,,,,,,,,,"Free Shipping",,,6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Brio Icons - 6240",variation-458185-of-boras-tapeter-wallpaper-brio-icons,456929,458185,,"Colour: 6240",publish,,0,"2022-03-03 17:51:25",1,closed,BT-6240,BT-6239-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6240-1.jpg ! alt :  ! title : BT-6240-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-brio-icons/,,,,,,,,,,,,,,,,"Free Shipping",,,6240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Brio Icons - 6241",variation-458191-of-boras-tapeter-wallpaper-brio-icons,456929,458191,,"Colour: 6241",publish,,0,"2022-03-03 17:51:37",1,closed,BT-6241,BT-6239-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6241-1.jpg ! alt :  ! title : BT-6241-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-brio-icons/,,,,,,,,,,,,,,,,"Free Shipping",,,6241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Krakel Spektakel",boras-tapeter-wallpaper-krakel-spektakel,,456935,"This lively wallpaper pattern brings together images from Lennart Hellsing's book Krakel Spektakel Koper en Klubba (""Krakel Spektakel Buys a Club""), which Stig Lindberg illustrated. An exceedingly playful wallpaper, this is perfect for a children's room. In this colour scheme, it makes for a bright and imaginative accent wall.","<h1>Care Code</h1><p><img align=""baseline"" alt=""imageedit 3 5946527801"" height=""137"" src=""https://inspiry.co.nz/wp-content/uploads/2020/09/imageedit_3_5946527801.png"" title=""imageedit 3 5946527801"" width=""130"" /></p><h1>Care CodeGuide</h1><p><span style=""font-size: 1em;"">Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of wallpaper.<br /><br />Please click </span><strong style=""font-size: 1em;""><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/Wallpaper-Care-Guide.pdf""><span style=""color:#ff0033;"">here</span><span style=""color:#696969;""> </span></a></strong><span style=""font-size: 1em;"">to download.</span>",publish,,0,"2022-03-03 17:36:08",1,open,BT-6242-P,,,no,no,,245,,1.3,60,8.5,60,,outofstock,no,no,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6242.jpg ! alt : Boras Tapeter Wallpaper Krakel Spektakel  ! title : Boras Tapeter Wallpaper Krakel Spektakel  1 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6242-1.jpg ! alt : Boras Tapeter Wallpaper Krakel Spektakel  ! title : Boras Tapeter Wallpaper Krakel Spektakel  2 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6242-2.jpg ! alt : Boras Tapeter Wallpaper Krakel Spektakel  ! title : Boras Tapeter Wallpaper Krakel Spektakel  3 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6242-3.jpg ! alt : Boras Tapeter Wallpaper Krakel Spektakel  ! title : Boras Tapeter Wallpaper Krakel Spektakel  4 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/03/BT-6242-4.jpg ! alt : Boras Tapeter Wallpaper Krakel Spektakel  ! title : Boras Tapeter Wallpaper Krakel Spektakel  5 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-krakel-spektakel/,,,,,,,,,,,,variable,outofstock,Wallpaper,,,,0,,,,,,,,,,,"Delivery 3 weeks after ordering. Order now",32|1|0,,,,,"Boras Tapeter, Boras Tapeter Wallpaper",1|1|0,,,,,"Scandinavian Designers Mini",2|1|0,,6242|6243,3|1|1,6242,,,,"Non Woven Paste the Wall",7|1|0,,,,,,,,,,,Free,33|1|0,,"Krakel Spektakel",4|1|0,,"Mid Century",5|1|0,,,,,,,,,,,,,,,,,"Half Drop",8|1|0,,,,,,,,Sweden,14|1|0,,"Animals &amp; Nature",6|1|0,,,,,53Cm,15|1|0,,,,,,,,,,,10.05M,12|1|0,,,,,,,,,,,,,,,,,,,,Roll,13|1|0,,,,,,,,,,,,,,,,,,,,53Cm,11|1|0,
"Boras Tapeter Wallpaper Krakel Spektakel - 6242",variation-458197-of-boras-tapeter-wallpaper-krakel-spektakel,456935,458197,,"Colour: 6242",publish,,0,"2022-03-03 17:51:47",1,closed,BT-6242,BT-6242-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6242-5.jpg ! alt :  ! title : BT-6242 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-krakel-spektakel/,,,,,,,,,,,,,,,,"Free Shipping",,,6242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boras Tapeter Wallpaper Krakel Spektakel - 6243",variation-458203-of-boras-tapeter-wallpaper-krakel-spektakel,456935,458203,,"Colour: 6243",publish,,0,"2022-03-03 17:51:49",1,closed,BT-6243,BT-6242-P,,no,no,0,245,,1.3,60,8.5,60,,instock,no,,,no,taxable,,,no,,,,,,,,"http://localhost/wp-content/uploads/2022/03/BT-6243-1.jpg ! alt :  ! title : BT-6243-1 ! desc :  ! caption : ",,https://localhost/products/boras-tapeter-wallpaper-krakel-spektakel/,,,,,,,,,,,,,,,,"Free Shipping",,,6243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
