post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:hubwoo_ecomm_invalid_pro,meta:hubwoo_ecomm_pro_id,meta:mc4wp_updated_at,meta:total_sales,meta:attribute_pa_colour,meta:attribute_pa_seats,meta:attribute_pa_size,meta:attribute_pa_upholstery,meta:attribute_sizes,attribute:brands,attribute_data:brands,attribute_default:brands,attribute:pa_abrasion-test,attribute_data:pa_abrasion-test,attribute_default:pa_abrasion-test,attribute:pa_availability,attribute_data:pa_availability,attribute_default:pa_availability,attribute:pa_back,attribute_data:pa_back,attribute_default:pa_back,attribute:pa_base,attribute_data:pa_base,attribute_default:pa_base,attribute:pa_bed-size,attribute_data:pa_bed-size,attribute_default:pa_bed-size,attribute:pa_body,attribute_data:pa_body,attribute_default:pa_body,attribute:pa_brand-name,attribute_data:pa_brand-name,attribute_default:pa_brand-name,attribute:pa_brands,attribute_data:pa_brands,attribute_default:pa_brands,attribute:pa_clasps,attribute_data:pa_clasps,attribute_default:pa_clasps,attribute:pa_collection,attribute_data:pa_collection,attribute_default:pa_collection,attribute:pa_colour,attribute_data:pa_colour,attribute_default:pa_colour,attribute:pa_composition,attribute_data:pa_composition,attribute_default:pa_composition,attribute:pa_delivery,attribute_data:pa_delivery,attribute_default:pa_delivery,attribute:pa_design,attribute_data:pa_design,attribute_default:pa_design,attribute:pa_design-name,attribute_data:pa_design-name,attribute_default:pa_design-name,attribute:pa_design-style,attribute_data:pa_design-style,attribute_default:pa_design-style,attribute:pa_detailing,attribute_data:pa_detailing,attribute_default:pa_detailing,attribute:pa_end-use,attribute_data:pa_end-use,attribute_default:pa_end-use,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_feet,attribute_data:pa_feet,attribute_default:pa_feet,attribute:pa_fill,attribute_data:pa_fill,attribute_default:pa_fill,attribute:pa_frame,attribute_data:pa_frame,attribute_default:pa_frame,attribute:pa_frame-and-legs,attribute_data:pa_frame-and-legs,attribute_default:pa_frame-and-legs,attribute:pa_handles,attribute_data:pa_handles,attribute_default:pa_handles,attribute:pa_horizontal-pattern-repeat,attribute_data:pa_horizontal-pattern-repeat,attribute_default:pa_horizontal-pattern-repeat,attribute:pa_inslay,attribute_data:pa_inslay,attribute_default:pa_inslay,attribute:pa_leather,attribute_data:pa_leather,attribute_default:pa_leather,attribute:pa_legs,attribute_data:pa_legs,attribute_default:pa_legs,attribute:pa_legs-colour,attribute_data:pa_legs-colour,attribute_default:pa_legs-colour,attribute:pa_match,attribute_data:pa_match,attribute_default:pa_match,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_origin,attribute_data:pa_origin,attribute_default:pa_origin,attribute:pa_pattern,attribute_data:pa_pattern,attribute_default:pa_pattern,attribute:pa_pattern-repeat,attribute_data:pa_pattern-repeat,attribute_default:pa_pattern-repeat,attribute:pa_roll-length,attribute_data:pa_roll-length,attribute_default:pa_roll-length,attribute:pa_rub-test,attribute_data:pa_rub-test,attribute_default:pa_rub-test,attribute:pa_seat-and-back,attribute_data:pa_seat-and-back,attribute_default:pa_seat-and-back,attribute:pa_seats,attribute_data:pa_seats,attribute_default:pa_seats,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sold-by,attribute_data:pa_sold-by,attribute_default:pa_sold-by,attribute:pa_table-materials,attribute_data:pa_table-materials,attribute_default:pa_table-materials,attribute:pa_tabletop,attribute_data:pa_tabletop,attribute_default:pa_tabletop,attribute:pa_top,attribute_data:pa_top,attribute_default:pa_top,attribute:pa_upholstery,attribute_data:pa_upholstery,attribute_default:pa_upholstery,attribute:pa_upholstry,attribute_data:pa_upholstry,attribute_default:pa_upholstry,attribute:pa_vertical-pattern-repeat,attribute_data:pa_vertical-pattern-repeat,attribute_default:pa_vertical-pattern-repeat,attribute:pa_wide-width,attribute_data:pa_wide-width,attribute_default:pa_wide-width,attribute:pa_width,attribute_data:pa_width,attribute_default:pa_width,attribute:pa_wood,attribute_data:pa_wood,attribute_default:pa_wood,attribute:sizes,attribute_data:sizes,attribute_default:sizes
"Christian Lacroix Fabric Cabanon Soft - Azur",variation-999535504-of-christian-lacroix-fabric-cabanon-soft,999534976,999535509,,"Colour: Azur",publish,,0,"2022-04-17 10:47:22",1049,closed,FCL7029-01,FCL7029-01-P,,no,no,,469,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7029-01-3.jpg ! alt :  ! title : FCL7029-01 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-cabanon-soft/,,,,,,,,,,,,,,,,"Free Shipping",,1416857449,,0,Azur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Cabanon Soft - Coquelicot",variation-999535508-of-christian-lacroix-fabric-cabanon-soft,999534976,999535511,,"Colour: Coquelicot",publish,,0,"2022-04-17 10:47:23",1049,closed,FCL7029-02,FCL7029-01-P,,no,no,,469,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7029-02.jpg ! alt :  ! title : FCL7029-02 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-cabanon-soft/,,,,,,,,,,,,,,,,"Free Shipping",,1416858041,,0,Coquelicot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Cabanon Soft - Graphite",variation-999535512-of-christian-lacroix-fabric-cabanon-soft,999534976,999535513,,"Colour: Graphite",publish,,0,"2022-04-17 10:47:23",1049,closed,FCL7029-03,FCL7029-01-P,,no,no,,469,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7029-03.jpg ! alt :  ! title : FCL7029-03 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-cabanon-soft/,,,,,,,,,,,,,,,,"Free Shipping",,1416848287,,0,Graphite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Cabanon Soft - Roseau",variation-999535516-of-christian-lacroix-fabric-cabanon-soft,999534976,999535516,,"Colour: Roseau",publish,,0,"2022-04-17 10:47:24",1049,closed,FCL7029-04,FCL7029-01-P,,no,no,,469,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7029-04.jpg ! alt :  ! title : FCL7029-04 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-cabanon-soft/,,,,,,,,,,,,,,,,"Free Shipping",,1416850184,,0,Roseau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Pergola Shades Soft",christian-lacroix-fabric-pergola-shades-soft,,999534980,"A graphic cut velvet with geometric tiles and contrasting lines, complimented by graphic monochrome.","<h1>fabric guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/INSPIRY-FABRIC-CARE.pdf""><span style=color:#696969;>here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,"1970-01-01 00:00:00",1049,open,FCL7035-01-P,,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7035-01.jpg ! alt : Christian Lacroix Fabric Pergola Shades Soft ! title : Christian Lacroix Fabric Pergola Shades Soft 1 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/04/FCL7035-01-1.jpg ! alt : Christian Lacroix Fabric Pergola Shades Soft ! title : Christian Lacroix Fabric Pergola Shades Soft 2 ! desc :  ! caption :  | http://localhost/wp-content/uploads/2022/04/FCL7035-01-2.jpg ! alt : Christian Lacroix Fabric Pergola Shades Soft ! title : Christian Lacroix Fabric Pergola Shades Soft 3 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-pergola-shades-soft/,,,,,,,,,,,,variable,,"Fabric > Upholstery",,,yes,,2022-03-18T06:32:51+00:00,0,,,,,,,,,,,,"Delivery 3 weeks after ordering. Order now",15|1|0,,,,,,,,,,,,,,,,,"Christian Lacroix Fabric",1|1|0,,,,,"Histories Naturelles",2|1|0,,Azur|Coquelicot|Fuchsia|Galet,4|1|1,Azur,"88% Viscose / 12% Polyester",7|1|0,,Free,16|1|0,,,,,"Pergola Shades Soft",3|1|0,,"Modern Contemporary",5|1|0,,,,,"Blinds &amp; Accessories, Drapery, Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,11Cm,9|1|0,,,,,,,,,,,,,,"Straight March",13|1|0,,,,,,,,"Designed By The House Of Christian Lacroix In Paris, Shipped From The Uk",14|1|0,,Geometric,6|1|0,,,,,,,,"35000 Martindale",12|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13Cm,8|1|0,,,,,138Cm,10|1|0,,,,,,,
"Christian Lacroix Fabric Pergola Shades Soft - Azur",variation-999535520-of-christian-lacroix-fabric-pergola-shades-soft,999534980,999535521,,"Colour: Azur",publish,,0,"2022-04-17 10:47:28",1049,closed,FCL7035-01,FCL7035-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7035-01-3.jpg ! alt :  ! title : FCL7035-01 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-pergola-shades-soft/,,,,,,,,,,,,,,,,"Free Shipping",,1416848286,,0,Azur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Pergola Shades Soft - Coquelicot",variation-999535524-of-christian-lacroix-fabric-pergola-shades-soft,999534980,999535524,,"Colour: Coquelicot",publish,,0,"2022-04-17 10:47:29",1049,closed,FCL7035-02,FCL7035-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7035-02.jpg ! alt :  ! title : FCL7035-02 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-pergola-shades-soft/,,,,,,,,,,,,,,,,"Free Shipping",,1416852100,,0,Coquelicot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Pergola Shades Soft - Galet",variation-999535528-of-christian-lacroix-fabric-pergola-shades-soft,999534980,999535528,,"Colour: Galet",publish,,0,"2022-04-17 10:47:30",1049,closed,FCL7035-03,FCL7035-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7035-03.jpg ! alt :  ! title : FCL7035-03 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-pergola-shades-soft/,,,,,,,,,,,,,,,,"Free Shipping",,1416847757,,0,Galet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Pergola Shades Soft - Fuchsia",variation-999535532-of-christian-lacroix-fabric-pergola-shades-soft,999534980,999535532,,"Colour: Fuchsia",publish,,0,"2022-04-17 10:47:31",1049,closed,FCL7035-04,FCL7035-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7035-04.jpg ! alt :  ! title : FCL7035-04 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-pergola-shades-soft/,,,,,,,,,,,,,,,,"Free Shipping",,1416851000,,0,Fuchsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Cueillette",christian-lacroix-fabric-cueillette,,999534984,"Dream-like forest leaves and ferns create enchanting botanical inspired Christian Lacroix print in rich, tonal shades set against pure white. Digitally printed onto a soft cotton satin ground, this design is ideal for curtains, blinds, cushions and bedcovers. Available in two colourways.","<h1>fabric guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/INSPIRY-FABRIC-CARE.pdf""><span style=color:#696969;>here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,"1970-01-01 00:00:00",1049,open,FCL7037-01-P,,,no,no,,383,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7037-01.jpg ! alt : Christian Lacroix Fabric Cueillette ! title : Christian Lacroix Fabric Cueillette 1 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-cueillette/,,,,,,,,,,,,variable,,"Fabric > Curtains",,,yes,,2022-03-18T06:32:51+00:00,0,,,,,,,,,,,,"Delivery 3 weeks after ordering. Order now",15|1|0,,,,,,,,,,,,,,,,,"Christian Lacroix Fabric",1|1|0,,,,,"Paradis Barbares",2|1|0,,Bourgeon|Printemps,4|1|1,Bourgeon,"100% Cotton",7|1|0,,Free,16|1|0,,,,,Cueillette,3|1|0,,"Modern Contemporary",5|1|0,,,,,"Blinds &amp; Accessories, Drapery, Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,68.5Cm,9|1|0,,,,,,,,,,,,,,"Straight March",13|1|0,,,,,,,,"Designed By The House Of Christian Lacroix In Paris, Shipped From The Uk",14|1|0,,"Animals / Nature / Insects",6|1|0,,,,,,,,"25000 Martindale",12|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68Cm,8|1|0,,,,,139Cm,10|1|0,,,,,,,
"Christian Lacroix Fabric Cueillette - Bourgeon",variation-999535536-of-christian-lacroix-fabric-cueillette,999534984,999535536,,"Colour: Bourgeon",publish,,0,"2022-04-17 10:47:32",1049,closed,FCL7037-01,FCL7037-01-P,,no,no,,383,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7037-01-1.jpg ! alt :  ! title : FCL7037-01 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-cueillette/,,,,,,,,,,,,,,,,"Free Shipping",,1416848284,,0,Bourgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Cueillette - Printemps",variation-999535538-of-christian-lacroix-fabric-cueillette,999534984,999535538,,"Colour: Printemps",publish,,0,"2022-04-17 10:47:33",1049,closed,FCL7037-02,FCL7037-01-P,,no,no,,383,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7037-02.jpg ! alt :  ! title : FCL7037-02 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-cueillette/,,,,,,,,,,,,,,,,"Free Shipping",,1416854354,,0,Printemps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Le Pas Des Anges",christian-lacroix-fabric-le-pas-des-anges,,999534986,"An expressive cut velvet from Maison Christian Lacroix in abstract shapes with an intertwined damask pattern. Stylish and versatile, the two-tone velvet pile is in contrast to the neutral linen weave ground. A perfect fabric for inspired curtains, blinds, bedcovers and upholstery. In five distinct colourways.","<h1>fabric guide</h1><p>Careful and regular maintenance is the key to prolonging the life and retaining the appearance of soft furnishings. The following notes are offered as a brief guide on the care and cleaning of fabrics, please click <strong><a href=""https://inspiry.co.nz/wp-content/uploads/2020/09/INSPIRY-FABRIC-CARE.pdf""><span style=color:#696969;>here </span></a></strong>to download.</p><h1>Colour Accuracy</h1><p>We try our best to ensure photography depicts colours as accurately as possible. Colours can appear different depending on the type of display you are viewing from, therefore we recommend viewing in person for true colour representation.</p>",publish,,0,"1970-01-01 00:00:00",1049,open,FCL7039-01-P,,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7039-01.jpg ! alt : Christian Lacroix Fabric Le Pas Des Anges ! title : Christian Lacroix Fabric Le Pas Des Anges 1 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-le-pas-des-anges/,,,,,,,,,,,,variable,,"Fabric > Curtains",,,yes,,2022-03-18T06:32:52+00:00,0,,,,,,,,,,,,"Delivery 3 weeks after ordering. Order now",15|1|0,,,,,,,,,,,,,,,,,"Christian Lacroix Fabric",1|1|0,,,,,"Paradis Barbares",2|1|0,,"Bleu Nigelle|Bourgeon|Etoupe|Oeillet|Printemps",4|1|1,Oeillet,"56% Viscose 24% Linen 20% Polyester",7|1|0,,Free,16|1|0,,,,,"Le Pas Des Anges",3|1|0,,"Modern Contemporary",5|1|0,,,,,"Blinds &amp; Accessories, Drapery, Upholstery - General Domestic",11|1|0,,,,,,,,,,,,,,,,,,,,35Cm,9|1|0,,,,,,,,,,,,,,"Straight March",13|1|0,,,,,,,,"Designed By The House Of Christian Lacroix In Paris, Shipped From The Uk",14|1|0,,Damask,6|1|0,,,,,,,,"30000 Martindale",12|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5Cm,8|1|0,,,,,138Cm,10|1|0,,,,,,,
"Christian Lacroix Fabric Le Pas Des Anges - Oeillet",variation-999535540-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535541,,"Colour: Oeillet",publish,,0,"2022-04-17 10:47:35",1049,closed,FCL7039-01,FCL7039-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7039-01-1.jpg ! alt :  ! title : FCL7039-01 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-le-pas-des-anges/,,,,,,,,,,,,,,,,"Free Shipping",,1416849520,,0,Oeillet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Le Pas Des Anges - Bleu Nigelle",variation-999535542-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535543,,"Colour: Bleu Nigelle",publish,,0,"2022-04-17 10:47:35",1049,closed,FCL7039-02,FCL7039-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7039-02.jpg ! alt :  ! title : FCL7039-02 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-le-pas-des-anges/,,,,,,,,,,,,,,,,"Free Shipping",,1416848283,,0,"Bleu Nigelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Le Pas Des Anges - Etoupe",variation-999535544-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535545,,"Colour: Etoupe",publish,,0,"2022-04-17 10:47:41",1049,closed,FCL7039-03,FCL7039-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7039-03.jpg ! alt :  ! title : FCL7039-03 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-le-pas-des-anges/,,,,,,,,,,,,,,,,"Free Shipping",,1416847756,,0,Etoupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Le Pas Des Anges - Bourgeon",variation-999535546-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535547,,"Colour: Bourgeon",publish,,0,"2022-04-17 10:47:42",1049,closed,FCL7039-04,FCL7039-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7039-04.jpg ! alt :  ! title : FCL7039-04 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-le-pas-des-anges/,,,,,,,,,,,,,,,,"Free Shipping",,1416857447,,0,Bourgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Lacroix Fabric Le Pas Des Anges - Printemps",variation-999535548-of-christian-lacroix-fabric-le-pas-des-anges,999534986,999535549,,"Colour: Printemps",publish,,0,"2022-04-17 10:47:43",1049,closed,FCL7039-05,FCL7039-01-P,,no,no,,473,,0.4,0.5,0.5,160,,onbackorder,no,no,,no,taxable,,,,,,,0,0,,,"http://localhost/wp-content/uploads/2022/04/FCL7039-05.jpg ! alt :  ! title : FCL7039-05 ! desc :  ! caption : ",,https://localhost/products/christian-lacroix-fabric-le-pas-des-anges/,,,,,,,,,,,,,,,,"Free Shipping",,1416860300,,0,Printemps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
